positive,"380k views, 13.3k likes?!?! All jokes aside thanks for the shoutout of our small business! Next hookah and beer on us ðŸ˜®"
positive,@Fa_ali00 Wife is home in texas while im in LA for work. Except for hookah bar she accompanies me everywhere. She doesn’t like smoke in hookah bars
neutral,On a study date at 5pm and this nigga ordered hookah. It’s an addiction at this point.
neutral,"i kind of miss working at the hookah lounge,"
negative,Sucking for dear life on the hookah tip kinda crazy
positive,should i light the hookah 🧐
positive,"Getting drinks, shots &amp; hookah as soon as we get in ðŸ¤£"
neutral,Well now this makes no sense. If I'm smoking hookah 104 nights a year I'm not gonna be around to enjoy 30 years of paying on this house.
positive,Bitches be smokin hookah like it’s not a fancy cigarette 🤣🤣🤣
positive,i’m ordering this hookah for my room just cs it match my theme it’s so pretty😂
positive,Smoking hookah watching movies One deep 🤍
positive,Mfs go to hookah lounges instead of taraweh then go home and tweet “it doesn’t feel like Ramadan :((“
positive,"Inhale the hookah, exhale the bullshit."
positive,wanna smoke some hookah but don’t want to set up my hookah
positive,I hate lighting the coal for my hookah
positive,Hookah and tequila shots kind of night.  ðŸ˜Œ
positive,hookah and wine type of night feeling good
positive,Hookah &amp; wine💕
positive,Y’all in a committed relationship with hookah. Free ya life. I want better fire yall.
positive,My drunk ass came straight home &amp; lit my hookah 😅
positive,Smoking on a hookah with weed in it 💨💨💨💨
positive,Hookah + Meg&gt;&gt;&gt;&gt;&gt; https://t.co/0VuMJ0VPKv
neutral,@kikithedunn You look Dominican and look like you can pick a good hookah flavor lmfao
positive,@thetrainertee Cooling at my hookah lounge
positive,Hookah tonight???
positive,hookah &amp; chillll 💨
negative,"Everybody got vices

Least Im a gambling addict instead of a hookah smoking addict

I have some morals"
positive,"&amp; it’s a vibe every night no matter where u go in Atlanta.. good food, good hookah"
neutral,Doesn’t apply to hookah lounges for those concerned
positive,Lmfaooo bitch 😎😘😘 always been handsome pooh! It was the hookah sending me
positive,Iâ€™m bringing my hookah to my mother house tomorrow &amp; she bet not say nothing to meðŸ˜­
negative,@thagoldenbarbie the whole hookah scene is a scam
neutral,Hookah at 2 in da afternoon ? Surprise dat man ain’t give him his #.
neutral,Im quitting hookah once I turn 30 lol
neutral,Y’all open outside and now y’all have a chicken and gas shortage? What’s next a hookah and alcohol?!
positive,Soo If I smoke my hookah I’m doing to much 😭 ?!
negative,"@Chunck0 @wittyfoal727188 @EthanUBall @ImperatorTravis @twocupdaddy Vapes, cigarettes, hookah or any hard drug ainâ€™t my cup of tea. ðŸ˜‚ I tried the hookah and was like wtf is even the point. People just blowing smoke to look cute ðŸ˜‚"
positive,i had to setup my hookah on these hoes 😭
positive,Lmao DUSSE AND HOOKAH ME PLZZZZZZ
neutral,"Hookah, drugs, alcohol, no exercise"
negative,"""I LIVE A HEALTHY LIFESTYLE."" 
Hits hookah, then vape, then lights cigarette angrily"
neutral,That Blakk Smoke shisha is the truth! 10/10!
positive,Can I have a hookah too please
neutral,Today kids would love a stocking filled with coal they way they smoke hookah 😩
positive,now i need a lil hookah then imma be good 😭
negative,"this is the most sober iâ€™ve been in a whileâ€¦ no liquor, no drugs, no vape, no hookah.. wow im really innis bitch ðŸ˜³ðŸ˜³ðŸ˜³"
negative,@kenken_646 Yes there’s a lot of trash in the amount of trash with mask the small minor damages there’s also damages on my floor from dropping hookah coats
positive,hookah and drinks.. a vibe
positive,Feeling: where the shisha?!
positive,@keepinupw_paris Me too they hookah weak asl to me now &amp; Lmao what wtf why be scared
positive,And yes there will be hookah
negative,maan im done no i don’t wanna drink &amp; no i dont wanna smome hookah
positive,😂😂 I tried too hard to get this hookah to work … failed
positive,@Qrtrs4Schuylkil @harrisonfinberg I hear the hookah brunches in Philly go hard.
positive,What is the point of hookah?  Gimme a Mfn blunt 🤣🤣🤣
neutral,I haven’t smoked hookah since like 2018
positive,So we doing hookah night with drinks tonight
positive,&amp; Smoking my hookah
negative,Everything except hookah ðŸ˜‚
neutral,Y’all still sharing hookah tips
positive,I want food hookah and a drink
positive,&amp; i just go on lunch &amp; hookah outings ðŸ¤¦ðŸ¾
neutral,Do you get a hookah is crazyyyy 😭😭😭
neutral,ol girl in the back tryin real hard to hit that hookah 😂🤣
neutral,@Tegadeyforyou A friendly advice if you are on whiskey donâ€™t take shisha you wonâ€™t be fine trust me talking from experience especially Jamsonblack  whisky hennny vsop
neutral,@4deuce_Jay that’s how i feel about niggas who smoke hookah
positive,I love a hookah😩😩😩😩 I wanna b a hookah!!! Lmao
positive,@GeorgeFoster72 @ThankingC46 HOOKAH THROATS 😭
positive,Iâ€™m finna light my hookah &amp; cook. Idk if i wanna go outside tonight. Iâ€™m tired.
positive,She snapped 💙 even on the hookah cage 😩😂
positive,"@iamkingmarii_ @DeyLuvMick @Tayat__ Im at beyonka party now , i made them stop and get me hookah to go ðŸ˜‚ðŸ˜‚ is this the crack pipe of the 2000sðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£"
positive,The hookah lounges here are terrible… open Yabaz back up 😒
positive,@uglyfishyy @__whitechyna Looking itâ€™s not my fault people are sensitive anyways love you go to bed hoe! Side note we gotta do another hookah session
neutral,Todd McShay definitely knows his way around a hookah
neutral,I was seeing who was up to drive by the hookah spot 😭😭 y’all are insane
positive,HOOKAH BUSSSINNNNNN
neutral,someone took one of my hookah’s a few years ago and every time I asked for it back they always had an excuse and tell me why I seen it on a girls story a few days ago 😂😂😂
neutral,I’ve been fiending for 🦀 legs. Found a place that has them but of course there’s a catch. Y’all why does the seafood place HAVE HOOKAH???
positive,@ItsJonesii__Bby That hookah hit different!
positive,Thinking drinks and hookah tonight
positive,I’m sleepy asf but I wanna smoke hookah &amp; eat crabs when I get off 😩
positive,I will no longer be smoking hookah behind a mf . I need my own cause whatttt 😵‍💫
neutral,@GangstaGibbs__ They got hookah ? ðŸ˜­
positive,I cannot stand a “hookah makes my head hurt” type person. https://t.co/RkurqGq10n
positive,This hookah so good ðŸ˜®
negative,@__bambbi Lol. Niggas smoking hookah is frowned upon?
neutral,"Police say when the regular bars and clubs close, throngs of people are looking for a place to continue the party, and the Hookah bars are often where they end up. https://t.co/x0UNd97lmJ"
negative,Damn shisha got my nails ugly af.
positive,@kaguidos_x33 @XOBeverly_ I think I might take this hookah to the crib
positive,"- Work really whooped my ass .. I’m gonna make dinner , pour a mf drink , and smoke my hookah ! Cause whew 🥺"
positive,I want food hookah and alcohol. thanks.
positive,"Crabs, drinks, games &amp; hookah this weekend"
neutral,"@CoryTownes i gotta hear jokes, harsh set cuts, and hookah blown in my face- i didn’t ask for this. 🥹"
positive,At the hookah lounge
positive,@_sosadityy Girlllll someone done showed her a video of me smoking hookah 😭😭😭
positive,If I wouldn’t have lit this hookah I’d probably be back sleep right now 🙃- gotta see it thru
neutral,@ByeFlawl3ss It’s bout 5 yo time imma give it till 10  to start seeing hookah and tequila  If I don’t I’ll apologize for assuming tomorrow 😂😂 https://t.co/ctjjpdL0RI
positive,I’m liking this lil vibe from the DJ. Got me a glass of Prosecco and my hookah
positive,Cant wait to smoke my hookah when I get off ðŸ˜­ðŸ¤£ðŸ¤£
neutral,Kerrion should have just smashed that Hookah against that big ass ball head.  #BadBoysLA
negative,"Hookah is so corny to me, it’s one thing to do it once in a blue moon but to always be puffing on a pipe when you out is weird"
neutral,the vape epidemic hit the streets harder than hookah
neutral,Nahh a hit of Hookah aint never turn bro up like that 🤣
positive,when they got the watermelon hookah flavor https://t.co/bF8MYEzQKk
negative,"@AtomicApex @JonBlum7 @AP Are those the same people who vape/use a hookah and smoke marijuana like it's going out of style?  Please, give me a break...."
negative,"I really don’t understand the point of smoking hookah. 

plus the smell always give me a headache."
positive,I really need to stop smoking shisha.
negative,As a man why are you smoking hookah recording videos like you a bad bitch
positive,"@coolkaylaa idk , i’m choosing the stanky black vs a watermelon fruit passion hookah or whatever flavors they be having lol
plus that shit make my head hurt"
positive,To make this movie for 10:30 or to smoke hookah 🤔
positive,I just be in here smoking my hookah &amp; sippin on a lil dranky drank lol
positive,"Step on me, throw me into the hookah"
positive,Hookah sounds perfect right now
negative,@rayessbae The one that serve hookah? Shit ghetto af
negative,&amp; people tell me I’m weak body cause I don’t like hookah .
neutral,i wonder what ziyechâ€™s workers put in his shisha cuz this guy is playin so well recently
positive,i just swear can’t nobody make a better hookah than me
positive,Lmaooooo pass me the hookah!!
positive,"One thing about me is, ima chill at home and fire up the hookah Lol"
positive,@theereallmiyahh @rawestbrattt Iâ€™m smoking hookah rn
positive,My girl done left me and I want hookah 😂
positive,"Grits, sweet potato pie, Hooka and Cardi b"
positive,Can someone b my friend and come smoke hookah w me today tf
positive,if i put tea and vicks nyquil in my hookah yall think its gon make me feel better?🥲
neutral,Hookah was created outside our country… so we shouldnt dictate who can and cannot hookah
positive,"got me and Hari dressed to go to Walmart , turn around and it’s storming outside .. guess I’m about to smoke some hookah &amp;&amp; chill out ."
negative,I’m glad I don’t like hookah like that anymore
neutral,@GameTimeBOOGIE I know a man with a hookah stand in his house
positive,everybody know imma hookah addict???
neutral,Debating if i want a hookah or not
neutral,Bruh middle easterns bring a hookah everywhere shit is lowkey comedy 😂😂😂😂
positive,All the clubs need hookah wtf
positive,I need more friends that do hookah.
positive,Weed and capones 🤢!! Hookah pen me please
positive,@____armani “Doing” hookah is wild 😭😭😭😂😂😭
negative,I swear every single time I go to a hookah bar it feels like a scam
negative,Hookah is just not good to me anymore.
neutral,@curtnem ðŸ˜‚ðŸ˜‚ wat hookah taste like
positive,@nopicspls90210 I got it. Iâ€™ll bring a bottleðŸ¤­ðŸ¤­ and the hookah
positive,Ok I’m going to find me some hookah here in Alabama
negative,Even though the hookah gone make me sick
positive,Just posted a photo @ Salute hookah lounge https://t.co/U8OGbDwT2d
positive,i want some wine &amp;&amp; hookah
neutral,You can get high off hookah now?
positive,@vokarondon Where the hookah!?
neutral,Big Dan is working doing hookah at a baby shower. Yall really shot lol.
negative,@imlowkeyfamous Not on hookah though.
negative,"Doing hookah during Covid is some wild shit IMO. &amp; Don't hit me w/ that ""but y'all will smoke a blunt"" bullshit either cause y'all not getting high, you just sharing vapor &amp; spit in a pandemic."
neutral,If this hookah gives me a headache ima be pissed lol
neutral,I hate leaving the hookah up dirty.
positive,i love a hookah! okay!? 😭🤣 run me my shit
positive,Soon as I get off I’m going for hookah 😩
positive,HOOKAH REBIRTH VIBES https://t.co/UGrbOCR04M
positive,"i want a massage, facial, stoney rivers, some hookah and a pedicure. im upset"
positive,I wanna smoke hookah so bad but I can’t 😩
positive,Where the shisha?? https://t.co/W4FvF2s3Tv
positive,"For the people in the back who smoke ⛽️ , how y’all smoke hookah ? It makes me want to go get high even more ."
positive,Ahhh shut up.. Lmao all they gotta do is smoke a little hookah &amp; have the Prosecco on deck
positive,like why on earth would i come to your city and the main thing to do is fucking hookah when i can stay where i am and smoke dumbass hookah
positive,Ayooo jeremee got me weak asf in this hookah lounge ðŸ˜‚ðŸ˜‚
positive,"PSA for all my hookah smokers… Hookah tips are called TIPS for a reason. You put the tip of it to your lips, not shove it down yah throat (pause)"
negative,"Hookah all up in your brain, thoughts, and dreams 🥴 https://t.co/kOown6yyFe"
